Date,NVDA,BTC-USD,DX-Y.NYB,NG=F,GC=F
2026-05-07,211.2537841796875,,,,
2026-05-08,214.94947814941406,,,,
2026-05-11,219.18453979492188,,,,
2026-05-12,220.52297973632812,,,,
2026-05-13,225.56710815429688,,,,
2026-05-14,235.465576171875,,98.87999725341797,2.8940000534057617,4678.10009765625
2026-05-15,225.05770874023438,,99.2699966430664,2.9600000381469727,4555.7998046875
2026-05-18,222.0612030029297,,98.97000122070312,3.0239999294281006,4552.5
2026-05-19,220.35317993164062,,99.30000305175781,3.114000082015991,4506.2998046875
2026-05-20,223.20985412597656,,99.11000061035156,3.003999948501587,4531.2998046875
2026-05-21,219.25445556640625,77539.171875,99.19000244140625,3.0179998874664307,4539.7998046875
2026-05-22,215.07933044433594,75488.2421875,99.31999969482422,2.9070000648498535,4521.0
2026-05-23,,76673.3671875,,,
2026-05-24,,76981.125,,,
2026-05-25,,77279.9296875,,,
2026-05-26,214.60987854003906,75825.734375,99.16999816894531,2.8940000534057617,4500.39990234375
2026-05-27,212.35250854492188,74344.703125,99.20999908447266,3.0399999618530273,4447.5
2026-05-28,214.00057983398438,73536.5546875,99.0199966430664,3.2850000858306885,4499.2998046875
2026-05-29,210.8942108154297,73372.5234375,98.91000366210938,3.2899999618530273,4560.5
2026-05-30,,73754.8359375,,,
2026-05-31,,73579.6875,,,
2026-06-01,224.09881591796875,71319.7734375,99.19999694824219,3.178999900817871,4475.2001953125
2026-06-02,222.56060791015625,66703.65625,99.22000122070312,3.1670000553131104,4489.10009765625
2026-06-03,214.5,64014.3671875,99.52999877929688,3.2139999866485596,4436.7001953125
2026-06-04,218.66000366210938,63801.57421875,99.41000366210938,3.3359999656677246,4475.7998046875
2026-06-05,205.10000610351562,60922.66796875,100.06999969482422,3.2290000915527344,4337.10009765625
2026-06-06,,60867.4140625,,,
2026-06-07,,63239.51953125,,,
2026-06-08,208.63999938964844,63090.58984375,100.05000305175781,3.1470000743865967,4335.89990234375
2026-06-09,208.19000244140625,61643.78125,99.91000366210938,3.140000104904175,4260.0
2026-06-10,200.4199981689453,61449.2890625,99.94999694824219,3.184999942779541,4108.2001953125
2026-06-11,204.8699951171875,63561.0546875,99.86000061035156,3.0869998931884766,4090.300048828125
2026-06-12,205.19000244140625,63543.19921875,99.75,3.119999885559082,4215.0
2026-06-13,,64421.32421875,,,
2026-06-14,,65710.3984375,,,
2026-06-15,212.4499969482422,66289.5,99.62999725341797,3.1470000743865967,4328.0
2026-06-16,207.41000366210938,65600.640625,99.54000091552734,3.239000082015991,4330.89990234375
2026-06-17,204.64999389648438,,100.08999633789062,3.1449999809265137,4358.89990234375
2026-06-18,210.69000244140625,62896.47265625,100.8499984741211,3.2330000400543213,4224.10009765625
2026-06-19,,62750.0,100.802001953125,3.2260000705718994,4182.10009765625
