Date,Close
2021-06-21 00:00:00-04:00,18.363731384277344
2021-06-22 00:00:00-04:00,18.8216495513916
2021-06-23 00:00:00-04:00,18.991558074951172
2021-06-24 00:00:00-04:00,19.139301300048828
2021-06-25 00:00:00-04:00,18.96539878845215
2021-06-28 00:00:00-04:00,19.916112899780273
2021-06-29 00:00:00-04:00,19.957719802856445
2021-06-30 00:00:00-04:00,19.933549880981445
2021-07-01 00:00:00-04:00,20.1423282623291
2021-07-02 00:00:00-04:00,20.416378021240234
2021-07-06 00:00:00-04:00,20.627151489257812
2021-07-07 00:00:00-04:00,20.301530838012695
2021-07-08 00:00:00-04:00,19.834148406982422
2021-07-09 00:00:00-04:00,19.981138229370117
2021-07-12 00:00:00-04:00,20.441795349121094
2021-07-13 00:00:00-04:00,20.180200576782227
2021-07-14 00:00:00-04:00,19.773103713989258
2021-07-15 00:00:00-04:00,18.900875091552734
2021-07-16 00:00:00-04:00,18.09839630126953
2021-07-19 00:00:00-04:00,18.715017318725586
2021-07-20 00:00:00-04:00,18.54784393310547
2021-07-21 00:00:00-04:00,19.34309196472168
2021-07-22 00:00:00-04:00,19.526456832885742
2021-07-23 00:00:00-04:00,19.49058723449707
2021-07-26 00:00:00-04:00,19.22749137878418
2021-07-27 00:00:00-04:00,19.14179039001465
2021-07-28 00:00:00-04:00,19.435773849487305
2021-07-29 00:00:00-04:00,19.59422492980957
2021-07-30 00:00:00-04:00,19.431787490844727
2021-08-02 00:00:00-04:00,19.68192481994629
2021-08-03 00:00:00-04:00,19.746700286865234
2021-08-04 00:00:00-04:00,20.204118728637695
2021-08-05 00:00:00-04:00,20.56586456298828
2021-08-06 00:00:00-04:00,20.295799255371094
2021-08-09 00:00:00-04:00,20.225046157836914
2021-08-10 00:00:00-04:00,19.86728286743164
2021-08-11 00:00:00-04:00,19.63109588623047
2021-08-12 00:00:00-04:00,19.83638572692871
2021-08-13 00:00:00-04:00,20.118408203125
2021-08-16 00:00:00-04:00,19.8812313079834
2021-08-17 00:00:00-04:00,19.39092445373535
2021-08-18 00:00:00-04:00,18.974374771118164
2021-08-19 00:00:00-04:00,19.729753494262695
2021-08-20 00:00:00-04:00,20.744245529174805
2021-08-23 00:00:00-04:00,21.882308959960938
2021-08-24 00:00:00-04:00,21.717880249023438
2021-08-25 00:00:00-04:00,22.136430740356445
2021-08-26 00:00:00-04:00,21.991931915283203
2021-08-27 00:00:00-04:00,22.55797576904297
2021-08-30 00:00:00-04:00,22.60978889465332
2021-08-31 00:00:00-04:00,22.31177520751953
2021-09-01 00:00:00-04:00,22.367586135864258
2021-09-02 00:00:00-04:00,22.322736740112305
2021-09-03 00:00:00-04:00,22.768274307250977
2021-09-07 00:00:00-04:00,22.58786964416504
2021-09-08 00:00:00-04:00,22.26592254638672
2021-09-09 00:00:00-04:00,22.10445213317871
2021-09-10 00:00:00-04:00,22.404470443725586
2021-09-13 00:00:00-04:00,22.07953453063965
2021-09-14 00:00:00-04:00,22.16924476623535
2021-09-15 00:00:00-04:00,22.267915725708008
2021-09-16 00:00:00-04:00,22.16924476623535
2021-09-17 00:00:00-04:00,21.828357696533203
2021-09-20 00:00:00-04:00,21.0439395904541
2021-09-21 00:00:00-04:00,21.17650032043457
2021-09-22 00:00:00-04:00,21.86922264099121
2021-09-23 00:00:00-04:00,22.4084529876709
2021-09-24 00:00:00-04:00,22.00876808166504
2021-09-27 00:00:00-04:00,21.589143753051758
2021-09-28 00:00:00-04:00,20.63128662109375
2021-09-29 00:00:00-04:00,20.44988250732422
2021-09-30 00:00:00-04:00,20.64823341369629
2021-10-01 00:00:00-04:00,20.674152374267578
2021-10-04 00:00:00-04:00,19.667451858520508
2021-10-05 00:00:00-04:00,20.384098052978516
2021-10-06 00:00:00-04:00,20.63228416442871
2021-10-07 00:00:00-04:00,21.006059646606445
2021-10-08 00:00:00-04:00,20.762859344482422
2021-10-11 00:00:00-04:00,20.627302169799805
2021-10-12 00:00:00-04:00,20.60338020324707
